Date,SP500,NASDAQ,DowJones,Russell
2019-05-08,2879.419921875,90.98999786376952,25967.330078125,1574.969970703125
2019-05-09,2870.719970703125,91.16000366210938,25828.359375,1570.06005859375
2019-05-10,2881.39990234375,92.51000213623048,25942.369140625,1572.989990234375
2019-05-13,2811.8701171875,90.9000015258789,25324.990234375,1523.0
2019-05-14,2834.409912109375,91.16999816894533,25532.05078125,1543.06005859375
2019-05-15,2850.9599609375,90.76000213623048,25648.01953125,1548.27001953125
2019-05-16,2876.320068359375,90.93000030517578,25862.6796875,1557.239990234375
2019-05-17,2859.530029296875,90.3000030517578,25764.0,1535.760009765625
2019-05-20,2840.22998046875,90.26000213623048,25679.900390625,1524.9599609375
2019-05-21,2864.360107421875,91.27999877929688,25877.330078125,1545.25
2019-05-22,2856.27001953125,90.36000061035156,25776.609375,1531.6300048828125
2019-05-23,2822.239990234375,90.0199966430664,25490.470703125,1501.3800048828125
2019-05-24,2826.06005859375,90.02999877929688,25585.689453125,1514.1099853515625
2019-05-28,2802.389892578125,89.97000122070312,25347.76953125,1504.02001953125
2019-05-29,2783.02001953125,90.33999633789062,25126.41015625,1489.949951171875
2019-05-30,2788.860107421875,90.6500015258789,25169.880859375,1485.530029296875
2019-05-31,2752.06005859375,90.63999938964844,24815.0390625,1465.489990234375
2019-06-03,2744.449951171875,90.70999908447266,24819.779296875,1469.97998046875
2019-06-04,2803.27001953125,92.76000213623048,25332.1796875,1508.56005859375
2019-06-05,2826.14990234375,96.18000030517578,25539.5703125,1506.7900390625
2019-06-06,2843.489990234375,95.88999938964844,25720.66015625,1499.2900390625
2019-06-07,2873.340087890625,96.16000366210938,25983.939453125,1514.3900146484375
2019-06-10,2886.72998046875,96.66999816894533,26062.6796875,1523.56005859375
2019-06-11,2885.719970703125,95.26000213623048,26048.509765625,1519.1099853515625
2019-06-12,2879.840087890625,95.4499969482422,26004.830078125,1519.7900390625
2019-06-13,2891.639892578125,95.44000244140624,26106.76953125,1535.800048828125
2019-06-14,2886.97998046875,95.70999908447266,26089.609375,1522.5
2019-06-17,2889.669921875,95.16999816894533,26112.529296875,1532.75
2019-06-18,2917.75,95.91000366210938,26465.5390625,1550.22998046875
2019-06-19,2926.4599609375,96.51000213623048,26504.0,1555.5799560546875
2019-06-20,2954.179931640625,97.73999786376952,26753.169921875,1563.489990234375
2019-06-21,2950.4599609375,98.29000091552734,26719.130859375,1549.6300048828125
2019-06-24,2945.35009765625,96.87000274658205,26727.5390625,1530.0799560546875
2019-06-25,2917.3798828125,98.0,26548.220703125,1521.0400390625
2019-06-26,2913.780029296875,94.61000061035156,26536.8203125,1521.8900146484375
2019-06-27,2924.919921875,96.16999816894533,26526.580078125,1546.550048828125
2019-06-28,2941.760009765625,96.16999816894533,26599.9609375,1566.5699462890625
2019-07-01,2964.330078125,97.1500015258789,26717.4296875,1566.5699462890625
2019-07-02,2973.010009765625,99.66000366210938,26786.6796875,1560.5400390625
2019-07-03,2995.820068359375,101.41999816894533,26966.0,1572.1199951171875
2019-07-05,2990.409912109375,101.0500030517578,26922.119140625,1575.6199951171875
2019-07-08,2975.949951171875,100.83999633789062,26806.140625,1561.3900146484375
2019-07-09,2979.6298828125,101.61000061035156,26783.490234375,1562.5899658203125
2019-07-10,2993.070068359375,103.0199966430664,26860.19921875,1565.050048828125
2019-07-11,2999.909912109375,104.01000213623048,27088.080078125,1557.9200439453125
2019-07-12,3013.77001953125,104.27999877929688,27332.029296875,1570.0
2019-07-15,3014.300048828125,104.22000122070312,27359.16015625,1561.8199462890625
2019-07-16,3004.0400390625,103.29000091552734,27335.630859375,1562.0
2019-07-17,2984.419921875,102.63999938964844,27219.849609375,1550.780029296875
2019-07-18,2995.110107421875,103.13999938964844,27222.970703125,1555.6199951171875
2019-07-19,2976.610107421875,101.7300033569336,27154.19921875,1547.9000244140625
2019-07-22,2985.030029296875,101.77999877929688,27171.900390625,1544.780029296875
2019-07-23,3005.469970703125,100.86000061035156,27349.189453125,1554.9599609375
2019-07-24,3019.56005859375,98.22000122070312,27269.970703125,1580.4200439453125
2019-07-25,3003.669921875,97.61000061035156,27140.98046875,1561.449951171875
2019-07-26,3025.860107421875,98.05999755859376,27192.44921875,1578.969970703125
2019-07-29,3020.969970703125,96.66999816894533,27221.349609375,1569.030029296875
2019-07-30,3013.179931640625,96.8000030517578,27198.01953125,1585.5999755859375
2019-07-31,2980.3798828125,96.37000274658205,26864.26953125,1574.6099853515625
2019-08-01,2953.56005859375,97.6500015258789,26583.419921875,1550.760009765625
2019-08-02,2932.050048828125,97.9499969482422,26485.009765625,1533.6600341796875
2019-08-05,2844.739990234375,94.36000061035156,25717.740234375,1487.4100341796875
2019-08-06,2881.77001953125,95.8499984741211,26029.51953125,1502.0899658203125
2019-08-07,2883.97998046875,96.12000274658205,26007.0703125,1500.68994140625
2019-08-08,2938.090087890625,98.26000213623048,26378.189453125,1532.1300048828125
2019-08-09,2918.64990234375,98.54000091552734,26287.439453125,1513.0400390625
2019-08-12,2882.699951171875,96.58000183105467,25896.439453125,1495.9000244140625
2019-08-13,2926.320068359375,97.93000030517578,26279.91015625,1510.5799560546875
2019-08-14,2840.60009765625,95.31999969482422,25479.419921875,1467.52001953125
2019-08-15,2847.60009765625,96.9800033569336,25579.390625,1461.6500244140625
2019-08-16,2888.679931640625,97.52999877929688,25886.009765625,1493.6400146484375
2019-08-19,2923.64990234375,99.41999816894533,26135.7890625,1508.8499755859375
2019-08-20,2900.510009765625,98.91000366210938,25962.439453125,1498.010009765625
2019-08-21,2924.429931640625,99.31999969482422,26202.73046875,1509.8499755859375
2019-08-22,2922.949951171875,100.12999725341795,26252.240234375,1506.0
2019-08-23,2847.110107421875,97.5199966430664,25628.900390625,1459.489990234375
2019-08-26,2878.3798828125,98.66999816894533,25898.830078125,1476.0
2019-08-27,2869.159912109375,98.2699966430664,25777.900390625,1456.0400390625
2019-08-28,2887.93994140625,98.52999877929688,26036.099609375,1472.7099609375
2019-08-29,2924.580078125,99.7699966430664,26362.25,1496.719970703125
2019-08-30,2926.4599609375,99.83999633789062,26403.279296875,1494.8399658203125
2019-09-03,2906.27001953125,99.52999877929688,26118.01953125,1472.280029296875
2019-09-04,2937.780029296875,99.91000366210938,26355.470703125,1484.760009765625
2019-09-05,2976.0,102.0199966430664,26728.150390625,1510.75
2019-09-06,2978.7099609375,104.26000213623048,26797.4609375,1505.1700439453125
2019-09-09,2978.429931640625,102.83999633789062,26835.509765625,1524.22998046875
2019-09-10,2979.389892578125,98.1500015258789,26909.4296875,1541.6099853515625
2019-09-11,3000.929931640625,98.18000030517578,27137.0390625,1575.7099609375
2019-09-12,3009.570068359375,99.0,27182.44921875,1575.0699462890625
2019-09-13,3007.389892578125,99.5199966430664,27219.51953125,1578.1400146484375
2019-09-16,2997.9599609375,99.27999877929688,27076.8203125,1584.5999755859375
2019-09-17,3005.699951171875,102.7300033569336,27110.80078125,1578.2900390625
2019-09-18,3006.72998046875,102.62000274658205,27147.080078125,1568.3399658203125
2019-09-19,3006.7900390625,101.68000030517578,27094.7890625,1561.469970703125
2019-09-20,2992.070068359375,100.68000030517578,26935.0703125,1559.760009765625
2019-09-23,2991.780029296875,100.25,26949.990234375,1558.25
2019-09-24,2966.60009765625,101.37000274658205,26807.76953125,1533.5899658203125
2019-09-25,2984.8701171875,102.76000213623048,26970.7109375,1550.6500244140625
2019-09-26,2977.6201171875,101.81999969482422,26891.119140625,1533.3299560546875
2019-09-27,2961.7900390625,100.08000183105467,26820.25,1520.47998046875
2019-09-30,2976.739990234375,99.3499984741211,26916.830078125,1523.3699951171875
2019-10-01,2940.25,98.58999633789062,26573.0390625,1493.4300537109375
2019-10-02,2887.610107421875,95.73999786376952,26078.619140625,1479.6300048828125
2019-10-03,2910.6298828125,97.13999938964844,26201.0390625,1486.3499755859375
